Date,Product,Predicted_Price_EGP
2026-05-01,guava,32.29
2026-06-01,guava,34.06
2026-07-01,guava,35.27
2026-08-01,guava,37.6
2026-09-01,guava,39.54
2026-10-01,guava,43.44
2026-11-01,guava,47.93
2026-12-01,guava,55.93
2027-01-01,guava,63.76
2027-02-01,guava,72.7
2027-03-01,guava,76.05
2027-04-01,guava,82.1
2027-05-01,guava,89.48
2027-06-01,guava,95.14
2027-07-01,guava,103.17
2027-08-01,guava,116.81
2027-09-01,guava,126.68
2027-10-01,guava,147.59
2027-11-01,guava,176.47
2027-12-01,guava,224.04
2028-01-01,guava,279.93
2028-02-01,guava,298.79
2028-03-01,guava,302.67
2028-04-01,guava,323.08
2028-05-01,guava,331.89
2028-06-01,guava,349.77
2028-07-01,guava,353.65
2028-08-01,guava,357.27
2028-09-01,guava,361.4
2028-10-01,guava,367.71
2028-11-01,guava,372.63
2028-12-01,guava,378.4
2026-04-01,imported frozen buffalo meat,280.59
2026-05-01,imported frozen buffalo meat,283.96
2026-06-01,imported frozen buffalo meat,287.37
2026-07-01,imported frozen buffalo meat,290.81
2026-08-01,imported frozen buffalo meat,294.3
2026-09-01,imported frozen buffalo meat,297.84
2026-10-01,imported frozen buffalo meat,301.41
2026-11-01,imported frozen buffalo meat,305.03
2026-12-01,imported frozen buffalo meat,309.26
2027-01-01,imported frozen buffalo meat,312.39
2027-02-01,imported frozen buffalo meat,316.14
2027-03-01,imported frozen buffalo meat,319.93
2027-04-01,imported frozen buffalo meat,323.77
2027-05-01,imported frozen buffalo meat,327.66
2027-06-01,imported frozen buffalo meat,331.59
2027-07-01,imported frozen buffalo meat,335.57
2027-08-01,imported frozen buffalo meat,339.6
2027-09-01,imported frozen buffalo meat,343.67
2027-10-01,imported frozen buffalo meat,348.81
2027-11-01,imported frozen buffalo meat,351.97
2027-12-01,imported frozen buffalo meat,357.35
2028-01-01,imported frozen buffalo meat,360.47
2028-02-01,imported frozen buffalo meat,364.79
2028-03-01,imported frozen buffalo meat,369.17
2028-04-01,imported frozen buffalo meat,373.6
2028-05-01,imported frozen buffalo meat,378.08
2028-06-01,imported frozen buffalo meat,382.62
2028-07-01,imported frozen buffalo meat,387.21
2028-08-01,imported frozen buffalo meat,391.86
2028-09-01,imported frozen buffalo meat,396.56
2028-10-01,imported frozen buffalo meat,402.48
2028-11-01,imported frozen buffalo meat,406.14
